ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Morpheme_Index
Achang-1_sky-1-1,Achang-1_sky-1,mau³⁴ kʰoŋ³²,001a,false,expert,Mann1998,,,,1
Achang-1_sky-1-2,Achang-1_sky-1,mau³⁴ kʰoŋ³²,001b,false,expert,Mann1998,,,,2
Bela-1_sky-1-1,Bela-1_sky-1,mau⁵²,001a,false,expert,Mann1998,,,,1
Lashi-1_sky-1-1,Lashi-1_sky-1,mau³ kʰoŋ³¹,001a,false,expert,Mann1998,,,,1
Lashi-1_sky-1-2,Lashi-1_sky-1,mau³ kʰoŋ³¹,001b,false,expert,Mann1998,,,,2
Maru-1_sky-1-1,Maru-1_sky-1,moɂ³⁵ gauŋ⁵¹,001a,false,expert,Mann1998,,,,1
Maru-1_sky-1-2,Maru-1_sky-1,moɂ³⁵ gauŋ⁵¹,001b,false,expert,Mann1998,,,,2
Phon-1_sky-1-1,Phon-1_sky-1,mu³¹,001a,false,expert,Mann1998,,,,1
WrittenBurmese-1_sky-1-1,WrittenBurmese-1_sky-1,mui: kauŋ:,001a,false,expert,Mann1998,,,,1
WrittenBurmese-1_sky-1-2,WrittenBurmese-1_sky-1,mui: kauŋ:,001b,false,expert,Mann1998,,,,2
Zaiwa-1_sky-1-1,Zaiwa-1_sky-1,mau³ kʰuŋ⁵³,001a,false,expert,Mann1998,,,,1
Zaiwa-1_sky-1-2,Zaiwa-1_sky-1,mau³ kʰuŋ⁵³,001b,false,expert,Mann1998,,,,2
Achang-2_sun-1-1,Achang-2_sun-1,pui³¹,002a,false,expert,Mann1998,,,,3
Bela-2_sun-1-1,Bela-2_sun-1,pui³,002a,false,expert,Mann1998,,,,3
Lashi-2_sun-1-1,Lashi-2_sun-1,be⁵¹,002a,false,expert,Mann1998,,,,3
Maru-2_sun-1-1,Maru-2_sun-1,ba³¹,002a,false,expert,Mann1998,,,,3
WrittenBurmese-2_sun-1-1,WrittenBurmese-2_sun-1,pauŋ:,002a,false,expert,Mann1998,,,,3
Zaiwa-2_sun-1-1,Zaiwa-2_sun-1,bui³,002a,false,expert,Mann1998,,,,3
Achang-3_moon-1-1,Achang-3_moon-1,lạ⁵ mụ⁵,003a,false,expert,Mann1998,,,,4
Achang-3_moon-1-2,Achang-3_moon-1,lạ⁵ mụ⁵,003b,false,expert,Mann1998,,,,5
Bela-3_moon-1-1,Bela-3_moon-1,lẹ²³ mə⁵²,003a,false,expert,Mann1998,,,,4
Bela-3_moon-1-2,Bela-3_moon-1,lẹ²³ mə⁵²,003b,false,expert,Mann1998,,,,5
Lashi-3_moon-1-1,Lashi-3_moon-1,la⁵ mɔ⁵³,003a,false,expert,Mann1998,,,,4
Lashi-3_moon-1-2,Lashi-3_moon-1,la⁵ mɔ⁵³,003b,false,expert,Mann1998,,,,5
Maru-3_moon-1-1,Maru-3_moon-1,lọ⁴³,003a,false,expert,Mann1998,,,,4
Phon-3_moon-1-1,Phon-3_moon-1,la³¹,003a,false,expert,Mann1998,,,,4
WrittenBurmese-3_moon-1-1,WrittenBurmese-3_moon-1,laˀ,003a,false,expert,Mann1998,,,,4
Zaiwa-3_moon-1-1,Zaiwa-3_moon-1,lə⁴ mɔ⁴,003a,false,expert,Mann1998,,,,4
Zaiwa-3_moon-1-2,Zaiwa-3_moon-1,lə⁴ mɔ⁴,003b,false,expert,Mann1998,,,,5
Achang-4_star-1-1,Achang-4_star-1,gi²,004a,false,expert,Mann1998,,,,6
Bela-4_star-1-1,Bela-4_star-1,kị³,004a,false,expert,Mann1998,,,,6
Lashi-4_star-1-1,Lashi-4_star-1,kị⁵³,004a,false,expert,Mann1998,,,,6
Maru-4_star-1-1,Maru-4_star-1,gi⁵²,004a,false,expert,Mann1998,,,,6
WrittenBurmese-4_star-1-1,WrittenBurmese-4_star-1,krai,004a,false,expert,Mann1998,,,,6
Zaiwa-4_star-1-1,Zaiwa-4_star-1,kị⁵³,004a,false,expert,Mann1998,,,,6
Achang-5_cloud-1-1,Achang-5_cloud-1,dʒə³²,005a,false,expert,Mann1998,,,,7
